     Z         TH        U         V         Q         P
  438.000   304.044     2.000     0.000     1.000   956.200
  440.000   304.044     2.000     0.000     1.000   956.000
  442.000   304.044     2.000     0.000     1.000   955.800
  444.000   304.044     2.000     0.000     1.000   955.600
  446.000   304.045     2.000     0.000     1.000   955.400
  448.000   304.045     2.000     0.000     1.000   955.200
  450.000   304.045     2.000     0.000     1.000   955.000
  452.000   304.045     2.000     0.000     1.000   954.800
  454.000   304.045     2.000     0.000     1.000   954.600
  456.000   304.046     2.000     0.000     1.000   954.400
  458.000   304.046     2.000     0.000     1.000   954.200
  460.000   304.046     2.000     0.000     1.000   954.000
  462.000   304.046     2.000     0.000     1.000   953.800
  464.000   304.046     2.000     0.000     1.000   953.600
  466.000   304.047     2.000     0.000     1.000   953.400
  468.000   304.047     2.000     0.000     1.000   953.200
  470.000   304.047     2.000     0.000     1.000   953.000
  472.000   304.047     2.000     0.000     1.000   952.800
  474.000   304.047     2.000     0.000     1.000   952.600
  476.000   304.048     2.000     0.000     1.000   952.400
  478.000   304.048     2.000     0.000     1.000   952.200
  480.000   304.048     2.000     0.000     1.000   952.000
  482.000   304.048     2.000     0.000     1.000   951.800
  484.000   304.048     2.000     0.000     1.000   951.600
  486.000   304.049     2.000     0.000     1.000   951.400
  488.000   304.049     2.000     0.000     1.000   951.200
  490.000   304.049     2.000     0.000     1.000   951.000
  492.000   304.049     2.000     0.000     1.000   950.800
  494.000   304.049     2.000     0.000     1.000   950.600
  496.000   304.050     2.000     0.000     1.000   950.400
  498.000   304.050     2.000     0.000     1.000   950.200
  500.000   304.050     2.000     0.000     1.000   950.000
  502.000   304.050     2.000     0.000     1.000   949.800
  504.000   304.050     2.000     0.000     1.000   949.600
  506.000   304.051     2.000     0.000     1.000   949.400
  508.000   304.051     2.000     0.000     1.000   949.200
  510.000   304.051     2.000     0.000     1.000   949.000
  512.000   304.051     2.000     0.000     1.000   948.800
  514.000   304.051     2.000     0.000     1.000   948.600
  516.000   304.052     2.000     0.000     1.000   948.400
  518.000   304.052     2.000     0.000     1.000   948.200
  520.000   304.052     2.000     0.000     1.000   948.000
  522.000   304.052     2.000     0.000     1.000   947.800
  524.000   304.052     2.000     0.000     1.000   947.600
  526.000   304.053     2.000     0.000     1.000   947.400
  528.000   304.053     2.000     0.000     1.000   947.200
  530.000   304.053     2.000     0.000     1.000   947.000
  532.000   304.053     2.000     0.000     1.000   946.800
  534.000   304.053     2.000     0.000     1.000   946.600
  536.000   304.054     2.000     0.000     1.000   946.400
  538.000   304.054     2.000     0.000     1.000   946.200
  540.000   304.054     2.000     0.000     1.000   946.000
  542.000   304.054     2.000     0.000     1.000   945.800
  544.000   304.054     2.000     0.000     1.000   945.600
  546.000   304.055     2.000     0.000     1.000   945.400
  548.000   304.055     2.000     0.000     1.000   945.200
  550.000   304.055     2.000     0.000     1.000   945.000
  552.000   304.055     2.000     0.000     1.000   944.800
  554.000   304.055     2.000     0.000     1.000   944.600
  556.000   304.056     2.000     0.000     1.000   944.400
  558.000   304.056     2.000     0.000     1.000   944.200
  560.000   304.056     2.000     0.000     1.000   944.000
  562.000   304.056     2.000     0.000     1.000   943.800
  564.000   304.056     2.000     0.000     1.000   943.600
  566.000   304.057     2.000     0.000     1.000   943.400
  568.000   304.057     2.000     0.000     1.000   943.200
  570.000   304.057     2.000     0.000     1.000   943.000
  572.000   304.057     2.000     0.000     1.000   942.800
  574.000   304.057     2.000     0.000     1.000   942.600
  576.000   304.058     2.000     0.000     1.000   942.400
  578.000   304.058     2.000     0.000     1.000   942.200
  580.000   304.058     2.000     0.000     1.000   942.000
  582.000   304.058     2.000     0.000     1.000   941.800
  584.000   304.058     2.000     0.000     1.000   941.600
  586.000   304.059     2.000     0.000     1.000   941.400
  588.000   304.059     2.000     0.000     1.000   941.200
  590.000   304.059     2.000     0.000     1.000   941.000
  592.000   304.059     2.000     0.000     1.000   940.800
  594.000   304.059     2.000     0.000     1.000   940.600
  596.000   304.060     2.000     0.000     1.000   940.400
  598.000   304.060     2.000     0.000     1.000   940.200
  600.000   304.060     2.000     0.000     1.000   940.000
  602.000   304.060     2.000     0.000     1.000   939.800
  604.000   304.060     2.000     0.000     1.000   939.600
  606.000   304.061     2.000     0.000     1.000   939.400
  608.000   304.061     2.000     0.000     1.000   939.200
  610.000   304.061     2.000     0.000     1.000   939.000
  612.000   304.061     2.000     0.000     1.000   938.800
  614.000   304.061     2.000     0.000     1.000   938.600
  616.000   304.062     2.000     0.000     1.000   938.400
  618.000   304.062     2.000     0.000     1.000   938.200
